City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
325,Visnes,NO,59.3556,5.2242,55.4,47,0,9.22,clear sky
326,Ballina,AU,-28.8667,153.5667,69.8,68,0,5.75,clear sky
327,Binucayan,PH,8.25,125.7167,87.67,54,100,5.5,overcast clouds
328,Portland,US,45.5234,-122.6762,57.0,48,98,0.27,overcast clouds
329,Oranjemund,NA,-28.55,16.4333,68.38,68,2,7.2,clear sky
330,Suwalki,PL,54.1118,22.9309,55.89,60,0,5.93,clear sky
331,Mukhen,RU,48.1,136.1,50.31,58,76,5.99,broken clouds
332,Antofagasta,CL,-23.65,-70.4,64.4,72,90,2.3,overcast clouds
333,Patan,NP,27.6667,85.3333,78.8,34,20,6.91,few clouds
334,Weligama,LK,5.9667,80.4167,86.31,64,64,10.11,broken clouds
335,Leh,IN,34.1667,77.5833,38.1,30,52,5.91,broken clouds
336,Chapais,CA,49.7834,-74.8492,30.2,93,20,2.3,few clouds
337,Butajira,ET,8.1167,38.3667,61.61,59,100,6.26,overcast clouds
338,Russell,US,32.3502,-85.1999,59.0,76,75,5.97,broken clouds
339,Nuuk,GL,64.1835,-51.7216,24.8,68,90,19.57,light snow
340,Samarai,PG,-10.6167,150.6667,82.54,78,99,11.86,overcast clouds
341,Margate,GB,51.3813,1.3862,44.01,82,0,4.0,clear sky
342,Ritchie,ZA,-29.038,24.6028,71.6,40,0,2.3,clear sky
343,Rawson,AR,-43.3002,-65.1023,67.66,47,49,20.0,scattered clouds
344,Horodnytsya,UA,50.807,27.3168,49.08,66,82,7.14,broken clouds
345,Harper,LR,4.375,-7.7169,80.74,80,92,2.17,overcast clouds
