City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
449,Bunia,CD,78.26,overcast clouds,1.5667,30.25,Gold Star International Hotel
450,Beira,MZ,75.2,few clouds,-19.8436,34.8389,Beira Terrace Hotel
452,Salalah,OM,86.0,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
456,Isiro,CD,86.4,overcast clouds,2.7739,27.616,Guest House Hewa Bora
459,Meulaboh,ID,84.74,overcast clouds,4.1363,96.1285,Kost Pria
462,Sangin,AF,87.15,overcast clouds,32.0728,64.8359,
463,Padang,ID,84.94,scattered clouds,-0.9492,100.3543,Mercure Padang
469,Dayong,CN,75.2,few clouds,25.0209,118.2898,Haiyue Express Hotel
475,Yaan,NG,83.35,overcast clouds,7.3833,8.5667,
480,Takoradi,GH,80.78,overcast clouds,4.8845,-1.7554,Raybow International Hotel
482,Puerto Carreno,CO,75.74,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
488,Puerto Castilla,HN,81.0,overcast clouds,16.0167,-85.9667,"Santa Fe, Colon"
492,Mucurapo,TT,78.01,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
493,Jalu,LY,79.23,overcast clouds,29.0331,21.5482,صاحبة الفخامة
504,Yei,SS,87.6,broken clouds,4.095,30.6779,City Link Hotel
507,Lom Sak,TH,78.8,light rain,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
512,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
514,Taiyuan,CN,78.8,clear sky,37.8694,112.5603,Jinjiang Inn
530,Bandarbeyla,SO,86.02,clear sky,9.4942,50.8122,JABIR HOTEL
531,Koumac,NC,77.49,overcast clouds,-20.5667,164.2833,Le Monitel
533,Kalmunai,LK,87.67,broken clouds,7.4167,81.8167,VS Villa
536,Araouane,ML,80.67,clear sky,18.9048,-3.5265,
548,Khandbari,NP,83.95,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
551,Tam Ky,VN,87.8,few clouds,15.5667,108.4833,Khách Sạn Đông Á
554,Ahuimanu,US,75.2,broken clouds,21.4447,-157.8378,Paradise Bay Resort
557,Alice Springs,AU,75.2,clear sky,-23.7,133.8833,Desert Palms Alice Springs
562,Luba,GQ,80.6,heavy intensity rain,3.4568,8.5547,
567,Ilebo,CD,78.28,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
568,Alexandria,EG,82.4,overcast clouds,31.2156,29.9553,Royal Crown Hotel
571,Kuala Terengganu,MY,89.6,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
573,Masindi,UG,79.93,light rain,1.6744,31.715,New Court View Hotel
574,Monrovia,LR,77.0,broken clouds,6.3005,-10.7969,Sunset Inn
581,Mareeba,AU,75.2,light rain,-17.0,145.4333,Trinity Plains Tourist Park
585,Tambura,SS,88.92,overcast clouds,5.6,27.4667,Rikito Lodge
590,Mormugao,IN,86.22,clear sky,15.4,73.8,Coconut Creek Resort
592,Tual,ID,82.69,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
596,Sassandra,CI,79.5,broken clouds,4.95,-6.0833,la terrasse
602,Kisangani,CD,78.8,light rain,0.5167,25.2,Grand Ramela Hotel
603,Iralaya,HN,79.39,overcast clouds,15.0,-83.2333,Iglesia morava renovada
615,Pasaco,GT,80.6,few clouds,13.9772,-90.2064,Casa Fina
629,Maragogi,BR,75.2,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
633,Tebingtinggi,ID,89.6,scattered clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
635,Puerto Escondido,MX,76.98,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
636,Roebourne,AU,84.51,broken clouds,-20.7833,117.1333,Harding River Caravan Park
641,Richards Bay,ZA,76.71,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
643,Vaitape,PF,82.42,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
644,Pizarro,CO,76.03,overcast clouds,4.9533,-77.366,Hotel Limonar
647,Semnan,IR,78.4,overcast clouds,35.5729,53.3971,Semnan Tourist Hotel
651,Odweyne,SO,79.72,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
656,Ikom,NG,80.42,overcast clouds,5.9667,8.7063,Reho Farm & Resort
658,Banda Aceh,ID,85.64,light rain,5.5577,95.3222,Sulthan Hotel International
663,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
671,Davila,PH,86.0,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
673,Gouyave,GD,78.8,few clouds,12.1646,-61.7296,Rumboat Retreat
676,Gazojak,TM,78.69,overcast clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
677,Tautira,PF,78.8,few clouds,-17.7333,-149.15,Pension Oaoa
683,Trincomalee,LK,89.29,broken clouds,8.5711,81.2335,Welcombe Hotel
684,Tanete,ID,84.09,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
687,Beberibe,BR,77.0,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
