City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Sheltozero,RU,2021-04-18 23:34:08,61.3667,35.3667,28.8,87,2,4.72
258,Itarema,BR,2021-04-18 23:34:09,-2.9248,-39.9167,77.83,83,99,8.43
259,Hamilton,US,2021-04-18 23:33:18,39.1834,-84.5333,62.01,29,1,5.75
260,Tarauaca,BR,2021-04-18 23:34:09,-8.1614,-70.7656,74.32,95,71,2.91
261,Khatanga,RU,2021-04-18 23:34:10,71.9667,102.5,-1.84,96,96,8.7
262,Ixtahuacan,GT,2021-04-18 23:34:10,15.4167,-91.7667,59.0,94,40,5.12
263,Saldanha,ZA,2021-04-18 23:34:11,-33.0117,17.9442,62.6,88,52,9.22
264,Hurghada,EG,2021-04-18 23:34:11,27.2574,33.8129,77.0,61,0,4.52
265,Horta,PT,2021-04-18 23:34:11,38.5333,-28.6333,60.89,84,80,7.09
266,Codrington,AU,2021-04-18 23:34:12,-38.2667,141.9667,61.07,72,58,13.38
267,San Carlos De Bariloche,AR,2021-04-18 23:30:42,-41.1456,-71.3082,55.4,71,75,18.41
268,Adrar,MR,2021-04-18 23:34:12,20.5022,-10.0711,77.81,10,59,7.83
269,Coihaique,CL,2021-04-18 23:32:33,-45.5752,-72.0662,53.6,94,90,6.91
270,Hun,LY,2021-04-18 23:34:13,29.1268,15.9477,62.51,70,78,12.77
271,Vila Velha,BR,2021-04-18 23:29:23,-20.3297,-40.2925,77.0,88,0,6.91
272,Fare,PF,2021-04-18 23:34:14,-16.7,-151.0167,82.49,70,1,11.07
273,Melo,UY,2021-04-18 23:34:14,-32.3667,-54.1833,60.49,91,0,9.22
274,Visby,SE,2021-04-18 23:34:15,57.6409,18.296,39.99,87,20,6.91
275,Hirara,JP,2021-04-18 23:34:15,24.8,125.2833,68.0,68,75,13.8
276,Agadez,NE,2021-04-18 23:34:15,19.75,10.25,83.43,6,69,5.01
277,Makakilo City,US,2021-04-18 23:34:16,21.3469,-158.0858,84.2,45,1,8.05
278,Whitehorse,CA,2021-04-18 23:34:16,60.7161,-135.0538,53.6,26,1,9.22
279,Esperance,AU,2021-04-18 23:34:17,-33.8667,121.9,53.6,87,0,6.91
280,Thinadhoo,MV,2021-04-18 23:34:17,0.5333,72.9333,82.33,63,83,7.29
281,Vao,NC,2021-04-18 23:34:18,-22.6667,167.4833,77.31,79,84,12.86
282,Viisoara,RO,2021-04-18 23:34:18,46.55,23.9167,45.0,93,75,3.44
